Alloy ,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Zr,ele Num,Molar volum,Bulk module,dHmix,dSmix,Tm,Atom.Size.Diff,Elect.Diff,VEC,Microstructure,FCC,BCC,IM,hv,E (GPa),,,,
CoFeNi,0,0.333333333,0,0.333333333,0.333333333,0,0,0,0,0,3,6.783333327,176.6666665,-1.33,9.13,1768.999998,0.327647103,0.03,9,FCC,1,0,0,125,no,,,,
Al0.25CoFeNi,0.076923077,0.307692308,0,0.307692308,0.307692308,0,0,0,0,0,4,7.030769238,168.9230771,-6.059171598,10.68652014,1704.728463,3.944930254,0.076999962,8.538461538,FCC,1,0,0,135,no,,,,
Al0.5CoFeNi,0.142857143,0.285714286,0,0.285714286,0.285714286,0,0,0,0,0,4,7.24285715,162.2857144,-9.469387755,11.23935679,1649.638573,5.123177532,0.097079811,8.142857143,FCC + BCC,1,1,0,200,no,,,,
Al0.75CoFeNi,0.2,0.266666667,0,0.266666667,0.266666667,0,0,0,0,0,4,7.426666673,156.5333335,-11.94666667,11.46807317,1601.894002,5.804983773,0.109390229,7.8,FCC + BCC,1,1,0,390,no,,,,
CoCrFeNi,0,0.25,0.25,0.25,0.25,0,0,0,0,0,4,6.895,172.5,-3.75,11.53,1871.75,0.302115885,0.1,8.25,FCC,1,0,0,no,no,,,,
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,5,7.516,153.2,-12.32,13.38,1684.094,5.777889559,0.12,7.2,BCC,0,1,0,no,no,,,,
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,5,7.516,153.2,-12.32,13.38,1684.094,5.777889559,0.12,7.2,BCC,0,1,0,no,no,,,,
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,5,7.516,153.2,-12.32,13.38,1684.094,5.777889559,0.12,7.2,BCC,0,1,0,no,no,,,,
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,5,7.516,153.2,-12.32,13.38,1684.094,5.777889559,0.12,7.2,BCC,0,1,0,no,no,,,,
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,5,7.516,153.2,-12.32,13.38,1684.094,5.777889559,0.12,7.2,BCC,0,1,0,520,no,,,,
CoCrCu1FeNiTi0.5,0,0.222222222,0.222222222,0.222222222,0.222222222,0,0,0.111111111,0,0,5,7.311111104,165.5555554,-17.05785124,14.69798576,1879.444443,5.331036036,0.122359719,8.363636364,FCC,1,0,0,no,92,,,,
Al0.5CoCrCu0.5FeNiTi0.5,0.090909091,0.181818182,0.181818182,0.181818182,0.181818182,0.090909091,0,0.090909091,0,0,7,7.537272735,155.0909092,-10.84297521,15.74583048,1746.02182,5.968017451,0.130877521,7.636363636,FCC + BCC,1,1,0,no,160,,,,
Al0.75CoCrCu0.25FeNiTi0.5,0.136363636,0.181818182,0.181818182,0.181818182,0.181818182,0.045454545,0,0.090909091,0,0,7,7.668636363,152.1818182,-14.38842975,15.54807926,1726.735455,6.381032407,0.132989312,7.272727273,BCC,0,1,0,no,162,,,,
AlCoCrFeNiTi0.5,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0.090909091,0,0,6,7.800000008,149.2727274,-17.92,14.7,1707.449093,6.717619519,0.13,6.91,BCC,0,1,0,no,70,,,,
AlCoCrFeNiTi,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0.166666667,0,0,6,8.036666683,146.0000003,-21.56,14.9,1726.91167,7.220787893,0.14,6.67,BCC,0,1,0,no,90,,,,
AlCoCrFeNiTi1.5,0.153846154,0.153846154,0.153846154,0.153846154,0.153846154,0,0,0.230769231,0,0,6,8.236923085,143.2307694,-23.91,14.79,1743.380002,7.498181256,0.15,6.46,BCC + Im,0,1,1,no,160,,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC,1,0,0,144,no,,,,
CoCrFeMnNiV0.25,0,0.19047619,0.19047619,0.19047619,0.19047619,0,0.19047619,0,0.047619048,0,6,7.049523796,161.9047616,-5.297052154,14.33614554,1819.380949,3.287511249,0.138098522,7.857142857,FCC,1,0,0,151,no,,,,
CoCrFeMnNiV0.5,0,0.181818182,0.181818182,0.181818182,0.181818182,0,0.181818182,0,0.090909091,0,6,7.107272734,161.818182,-6.214876033,14.69798576,1835.909093,3.295001534,0.137594445,7.727272727,FCC,1,0,0,186,no,,,,
CoCrFeMnNiV0.75,0,0.173913043,0.173913043,0.173913043,0.173913043,0,0.173913043,0,0.130434783,0,6,7.159999987,161.7391301,-6.956521739,14.85564568,1850.999997,3.294550411,0.136911656,7.608695652,FCC + Im,1,0,1,342,no,,,,
CoCrFeMnNiV1.0,0,0.166666667,0.166666667,0.166666667,0.166666667,0,0.166666667,0,0.166666667,0,6,7.208333348,161.666667,-7.555555556,14.8975162,1864.833337,3.288078434,0.136096371,7.5,FCC + Im,1,0,1,650,no,,,,
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,3,6.829999993,173.3333332,-4.89,9.13,1891.999998,0.164559904,0.11,8.33,FCC,1,0,0,no,no,,,,
AlCrFeNi,0.25,0,0.25,0.25,0.25,0,0,0,0,0,4,7.7275,146.5,-13.25,11.52629192,1663.1175,6.26002632,0.118953773,7,BCC,0,1,0,472,no,,,,
